district_code,district_name,district_seat,district_type,state
9371,Amberg-Sulzbach,",",44,Bayern
9372,Cham,",",44,Bayern
9373,Neumarkt i.d.OPf.,",",44,Bayern
9374,Neustadt a.d.Waldnaab,",",44,Bayern
9375,Regensburg,",",44,Bayern
9376,Schwandorf,",",44,Bayern
9377,Tirschenreuth,",",44,Bayern
9461,Bamberg,",",41,Bayern
9462,Bayreuth,",",41,Bayern
9463,Coburg,",",41,Bayern
9464,Hof,",",41,Bayern
9471,Bamberg,",",44,Bayern
9472,Bayreuth,",",44,Bayern
9473,Coburg,",",44,Bayern
9474,Forchheim,",",44,Bayern
9475,Hof,",",44,Bayern
9476,Kronach,",",44,Bayern
9477,Kulmbach,",",44,Bayern
9478,Lichtenfels,",",44,Bayern
9479,Wunsiedel i.Fichtelgebirge,",",44,Bayern
9561,Ansbach,",",41,Bayern
9562,Erlangen,",",41,Bayern
9563,Fürth,",",41,Bayern
9564,Nürnberg,",",41,Bayern
9565,Schwabach,",",41,Bayern
9571,Ansbach,",",44,Bayern
9572,Erlangen-Höchstadt,",",44,Bayern
9573,Fürth,",",44,Bayern
9574,Nürnberger Land,",",44,Bayern
9575,Neustadt a.d.Aisch-Bad Windsheim,",",44,Bayern
9576,Roth,",",44,Bayern
9577,Weißenburg-Gunzenhausen,",",44,Bayern
9661,Aschaffenburg,",",41,Bayern
9662,Schweinfurt,",",41,Bayern
9663,Würzburg,",",41,Bayern
9671,Aschaffenburg,",",44,Bayern
9672,Bad Kissingen,",",44,Bayern
9673,Rhön-Grabfeld,",",44,Bayern
9674,Haßberge,",",44,Bayern
9675,Kitzingen,",",44,Bayern
9676,Miltenberg,",",44,Bayern
9677,Main-Spessart,",",44,Bayern
9678,Schweinfurt,",",44,Bayern
9679,Würzburg,",",44,Bayern
9761,Augsburg,",",41,Bayern
9762,Kaufbeuren,",",41,Bayern
9763,Kempten (Allgäu),",",41,Bayern
9764,Memmingen,",",41,Bayern
9771,Aichach-Friedberg,",",44,Bayern
9772,Augsburg,",",44,Bayern
9773,Dillingen a.d.Donau,",",44,Bayern
9774,Günzburg,",",44,Bayern
9775,Neu-Ulm,",",44,Bayern
9776,Lindau (Bodensee),",",44,Bayern
9777,Ostallgäu,",",44,Bayern
9778,Unterallgäu,",",44,Bayern
9779,Donau-Ries,",",44,Bayern
9780,Oberallgäu,",",44,Bayern
